library,version,path_rel,minified,sha1
en.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/en.js,no,853ea59c48485f8159525fc5aab639569eb20a0a
eo.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/eo.js,no,da2ef8bf915b084b96057a18c8eb6c46228c9e35
es.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/es.js,no,560a55064d456f6df028c1decfc8c108d24fd932
et.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/et.js,no,09277e9ebb7b695446ab0facb2af9c41b38431b6
fa.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/fa.js,no,5c5474dfe4fee999311350254fb88a355b139313
fi.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/fi.js,no,882198b0286fea85c220040d94db9cda3d43c840
fr-ca.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/fr-ca.js,no,31c345ea11e81c2ec987870736c75b9e25d4fb44
fr.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/fr.js,no,a1392841eb35c35292714729e8ed181364768ad9
gl.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/gl.js,no,473e48abe6aea1c22430f07892a9d047cf6a3714
he.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/he.js,no,32b8381801579da9f4272e52c030edc815cf84fc
hr.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/hr.js,no,433937efd08c79c9e431d4945aa53237afdbda46
hu.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/hu.js,no,ef03268e60cdbb399806571a4b82452b1c54c20b
id.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/id.js,no,926910a276f549f45a03e00f5ed20e8a869dacd3
it.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/it.js,no,37779313f91821dfdf895e334837fe9d8472f4af
ja.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/ja.js,no,ab75734778bf638de9573407f91f00aaa2318fa7
km.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/km.js,no,4e9431125b5e39cb5222801cbf3a60922a47d098
ku.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/ku.js,no,87beb51262136622b9d4bb6450a085c26036f8fe
lv.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/lv.js,no,1e50b77cc64f27a4209f1ac5aacc51295fb7d391
nb.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/nb.js,no,4420ea760656f3020f22681aa27ba47b768efd15
nl.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/nl.js,no,dc0598e94e316584ea1bd2666f8299d95ea4f0ce
no.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/no.js,no,50fbb62bc3944d8f11456e64575022796d5ecf9a
pl.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/pl.js,no,cfe8b7163c61982dc006f274ca60259c247b47c2
pt-br.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/pt-br.js,no,81ab8ee43ae22a0ac1b984c1f234827c7c43eb2a
pt.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/pt.js,no,ea694f4dce122dad9624af97b2e08b20f2ff73d5
ru.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/ru.js,no,d94d146d6790bfdaf26710d559438cb03740664d
si.js,,WebGestor/plugins/ckeditor/plugins/specialchar/dialogs/lang/si.js,no,ae61c6bee0e7f26b14e7a42c8de83a57eeddc340
